_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65a0eb34908c90eb44ecd747||42.69|89.09|48.39|69.34|45,1,0,0|words|10|-1|0|12.65|0|0|false|false|english|none|normal|false|false|false||1705044788000
65a0ea43908c90eb44ecd037||35.55|80.33|49.23|52.87|39,3,0,1|words|10|-1|0|13.16|0|0|false|false|english|none|normal|false|false|false||1705044547000
65a0ea34908c90eb44eccfbc||40.16|77.05|51.63|69.26|42,5,0,1|words|10|-1|0|12.55|0|0|false|false|english|none|normal|false|false|false||1705044532000
65a0ea25908c90eb44eccf47||65.05|98.15|65.05|67.75|52,0,0,0|words|10|-1|0|9.59|0|0|false|false|english|none|normal|false|false|false||1705044517000
65a0ea17908c90eb44eccee8||47.81|84.31|62.42|58.48|36,2,0,0|words|10|-1|0|9.04|0|0|false|false|english|none|normal|false|false|false||1705044503000
65a0e9eb908c90eb44eccd82||51.7|86.27|64.96|61.35|39,3,0,0|words|10|-1|0|9.05|0|0|false|false|english|none|normal|false|false|false||1705044459000
65a0e9df908c90eb44eccd22||43.84|83.61|50.37|54.23|47,2,1,0|words|10|-1|0|12.87|0|0|false|false|english|none|normal|false|false|false||1705044447000
65a0e9bf908c90eb44eccc28||59.48|91.67|59.48|58.46|54,0,0,0|words|10|-1|0|10.9|0|0|false|false|english|none|normal|false|false|false||1705044415000
65a03363f8d3bd59510e84e6||42.33|80|57.27|65.51|34,4,0,0|words|10|-1|0|9.64|0|0|false|false|english|none|normal|false|false|false||1704997731000
65a03349f8d3bd59510e836d||48.81|90.38|57.15|58.6|41,0,0,1|words|10|-1|0|10.08|0|0|false|false|english|none|normal|false|false|false||1704997705000
65a0333df8d3bd59510e82b6||48.38|89.09|57.18|65.46|44,2,0,0|words|10|-1|0|10.91|0|0|false|false|english|none|normal|false|false|false||1704997693000
